name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Free I,open,Reguliersdwarsstraat 70,1017 BN,Amsterdam,"Reguliersdwarsstraat 70, 1017 BN Amsterdam",Free 1,Free 1/logo.png,1,5,24 November 2025,,https://www.coffeeshopmenus.org/cs-free-i.html
Freedom,open,Van Hogendorpstraat 201,1051 CA,Amsterdam,"Van Hogendorpstraat 201, 1051 CA Amsterdam",Freedom,Freedom/logo.png,1,13,8 June 2026,,https://www.coffeeshopmenus.org/cs-freedom.html
Freeworld,open,Nieuwendijk 30,1012 MK,Amsterdam,"Nieuwendijk 30, 1012 MK Amsterdam",Freeworld,Freeworld/logo.png,1,7,21 February 2015,,https://www.coffeeshopmenus.org/cs-freeworld.html
Funky Munkey,open,Marnixstraat 333,1016 TC,Amsterdam,"Marnixstraat 333, 1016 TC Amsterdam",Funky Munky,Funky Munky/logo.png,1,14,14 September 2023,Later SWED a Snoop Dogg Store,https://www.coffeeshopmenus.org/cs-funky-munkey.html
Funny People 2,open,Tt. Vasumweg 4C,1033 SC,Amsterdam,"Tt. Vasumweg 4C, Amsterdam 1033 SC",FunnyPeople,FunnyPeople/logo.png,1,3,4 September 2025,,https://www.coffeeshopmenus.org/cs-funnypeople2.html
Get Down To It,open,Korte Leidsedwarsstraat 77-79,1017 PW,Amsterdam,"Korte Leidsedwarsstraat 77-79, 1017 PW Amsterdam",Get Down To It,Get Down To It/logo.png,1,18,12 May 2026,,https://www.coffeeshopmenus.org/cs-get-down.html
Global Chillage,open,,,,",",Globalchillage,Globalchillage/logo.png,1,,1 August 2007,Later Happy Feelings,https://www.coffeeshopmenus.org/cs-global-chillage.html
Goa,open,Kloveniersburgwal 42,1012 CW,Amsterdam,"Kloveniersburgwal 42, 1012 CW Amsterdam",GOA,GOA/logo.png,2,19,29 May 2026,,https://www.coffeeshopmenus.org/cs-goa.html
Green Place,open,Kloveniersburgwal 4,1012 CT,Amsterdam,"Kloveniersburgwal 4, 1012 CT Amsterdam",Green Place,Green Place/logo.png,1,86,29 July 2026,,https://www.coffeeshopmenus.org/cs-green-place.html
Green Place 2,open,Haarlemmerstraat 6,1013 ER,Amsterdam,"Haarlemmerstraat 6, Amsterdam 1013 ER",Green Place,Green Place/logo.png,1,30,29 June 2026,Previously Amsterdamned. See also Original Green Place near Nieuwmarkt.,https://www.coffeeshopmenus.org/cs-green-place-2.html
Greenhouse Centrum,open,Oudezijds Voorburgwal 191,1012 EW,Amsterdam,"Oudezijds Voorburgwal 191, 1012 EW Amsterdam",Greenhouse Centrum,Greenhouse Centrum/logo.png,1,87,24 July 2026,,https://www.coffeeshopmenus.org/cs-greenhouse-centrum.html
Greenhouse Cookies,open,Haarlemmerstraat 64,1013 ET,Amsterdam,"Haarlemmerstraat 64, Amsterdam 1013 ET",Greenhouse Centrum,Greenhouse Centrum/logo.png,1,19,4 July 2026,,https://www.coffeeshopmenus.org/cs-greenhouse-cookies.html
Greenhouse Effect,open,Nieuwmarkt 14,1012 CR,Amsterdam,"Nieuwmarkt 14, Amsterdam 1012 CR",Greenhouse Effect,Greenhouse Effect/logo.png,1,10,4 September 2025,Previously Hill Street Blues OTM and later Tyson 2.0 Nieuwmarkt,https://www.coffeeshopmenus.org/cs-greenhouse-effect-1.html
